      Wavelength  Normalized Flux
      [Angstrom]              [ ]
    827.94155699      -0.00999195
    828.07965429      -0.00408686
    828.21777463      -0.00634282
    828.35591801       0.00230476
    828.49408442      -0.00214969
    828.63227389       0.00114824
    828.77048640      -0.00272666
    828.90872197      -0.00221835
    829.04698059      -0.00054818
    829.18526227      -0.00035592
    829.32356702       0.01076772
    829.46189484      -0.00237507
    829.60024573      -0.00280451
    829.73861970       0.00162226
    829.87701674      -0.00414480
    830.01543687      -0.01059275
    830.15388009       0.00659886
    830.29234640      -0.00750765
    830.43083581      -0.00059607
    830.56934831       0.00973339
    830.70788392       0.00174717
    830.84644264      -0.01272228
    830.98502447      -0.00378247
    831.12362941       0.00349737
    831.26225747      -0.00098200
    831.40090865       0.00202560
    831.53958296       0.00674385
    831.67828040       0.00469596
    831.81700098      -0.00066066
    831.95574469      -0.00278511
    832.09451154       0.00146806
    832.23330154       0.01144851
    832.37211469       0.00746226
    832.51095100       0.00011332
    832.64981046      -0.00182784
    832.78869308      -0.00000524
    832.92759886      -0.00195767
    833.06652782       0.00183875
    833.20547995       0.00237803
    833.34445525      -0.00509328
    833.48345374      -0.01926504
    833.62247541      -0.00393781
    833.76152027       0.00082456
    833.90058832       0.00895827
    834.03967956       0.01566881
    834.17879401       0.00638562
    834.31793166       0.00923062
    834.45709252       0.00511211
    834.59627659       0.00436438
    834.73548387       0.01315169
    834.87471437       0.00601950
    835.01396810       0.00100627
    835.15324505       0.00108703
    835.29254524      -0.00279346
    835.43186866       0.00423461
    835.57121531       0.00149928
    835.71058521      -0.00574405
    835.84997836      -0.00607541
    835.98939476      -0.00133677
    836.12883441       0.01048178
    836.26829732       0.00361116
    836.40778349       0.00449243
    836.54729292       0.00128479
    836.68682563       0.00364220
    836.82638161       0.00840585
    836.96596087       0.00514671
    837.10556340       0.00071827
    837.24518923      -0.00226603
    837.38483834       0.00343267
    837.52451074       0.00613809
    837.66420645       0.00497707
    837.80392545      -0.00437372
    837.94366776       0.00755056
    838.08343337      -0.00034500
    838.22322230      -0.00275277
    838.36303454       0.00287850
    838.50287011       0.00419577
    838.64272900      -0.00746626
    838.78261121      -0.00322258
    838.92251676       0.00006886
    839.06244564      -0.00117858
    839.20239787       0.00684084
    839.34237343       0.00293040
    839.48237235       0.00486348
    839.62239461       0.00490993
    839.76244023       0.01096191
    839.90250921       0.00025269
    840.04260155      -0.00023496
    840.18271726       0.00681494
    840.32285634       0.00713961
    840.46301880       0.00561736
    840.60320463      -0.00372115
    840.74341385       0.00026356
    840.88364645       0.00073378
    841.02390244       0.00516710
    841.16418183       0.00508221
    841.30448461       0.00178553
    841.44481080       0.00375349
    841.58516039      -0.00041156
    841.72553339      -0.00092010
    841.86592981      -0.00287175
    842.00634964      -0.00189661
    842.14679289       0.00492467
    842.28725957       0.00118777
    842.42774968      -0.00063967
    842.56826323       0.00061095
    842.70880021      -0.00532376
    842.84936063       0.00352808
    842.98994449      -0.01161047
    843.13055180      -0.00024353
    843.27118257       0.00237497
    843.41183680       0.00139256
    843.55251448       0.00317874
    843.69321563       0.00635287
    843.83394024      -0.00143722
    843.97468833      -0.00373078
    844.11545990      -0.00055355
    844.25625494       0.00725053
    844.39707347       0.00377753
    844.53791549       0.01357712
    844.67878100      -0.00004495
    844.81967001      -0.00320243
    844.96058251       0.00100064
    845.10151852       0.01053721
    845.24247804      -0.00129326
    845.38346106       0.00633844
    845.52446761       0.00278337
    845.66549767       0.00398542
    845.80655125       0.00196859
    845.94762837       0.00126616
    846.08872901       0.00081445
    846.22985319       0.00244104
    846.37100091      -0.00073572
    846.51217217      -0.00111693
    846.65336698       0.00961262
    846.79458533       0.00298024
    846.93582725      -0.00063171
    847.07709272      -0.00481519
    847.21838175      -0.00121799
    847.35969435       0.00156939
    847.50103052       0.00659164
    847.64239027      -0.00674560
    847.78377359       0.00106576
    847.92518050      -0.00037793
    848.06661099      -0.00452506
    848.20806507       0.00545183
    848.34954275       0.00194756
    848.49104402       0.00151185
    848.63256889      -0.00054972
    848.77411738       0.00094800
    848.91568947       0.00476533
    849.05728517      -0.00405452
    849.19890449      -0.00121162
    849.34054744       0.00502296
    849.48221400       0.00300220
    849.62390420       0.00412417
    849.76561804      -0.00129036
    849.90735550       0.00129255
    850.04911661       0.00907835
    850.19090137       0.00272001
    850.33270977      -0.00237811
    850.47454183      -0.00048292
    850.61639755       0.00322702
    850.75827692       0.00094669
    850.90017996      -0.00521805
    851.04210667       0.00221747
    851.18405705       0.00800986
    851.32603111       0.01076325
    851.46802885       0.00340922
    851.61005028       0.00735000
    851.75209539       0.00575286
    851.89416420       0.00403894
    852.03625670      -0.00018508
    852.17837290      -0.00303740
    852.32051281       0.00454775
    852.46267642      -0.00232422
    852.60486375       0.00699162
    852.74707479       0.00032161
    852.88930956      -0.00224015
    853.03156805       0.00357632
    853.17385026      -0.00056284
    853.31615621       0.00376916
    853.45848589       0.00115099
    853.60083932       0.00051575
    853.74321649      -0.00229610
    853.88561740       0.00509404
    854.02804207       0.01063072
    854.17049050       0.00335801
    854.31296268       0.00412096
    854.45545863       0.00312054
    854.59797834       0.00828883
    854.74052183       0.00045040
    854.88308909       0.00404099
    855.02568014       0.00281130
    855.16829496       0.00243845
    855.31093358      -0.00059904
    855.45359598      -0.00044782
    855.59628218       0.00987564
    855.73899218       0.01044940
    855.88172599       0.00021852
    856.02448360      -0.00148686
    856.16726502       0.00417697
    856.31007026      -0.00076507
    856.45289932       0.00574797
    856.59575220       0.00096282
    856.73862890       0.00306607
    856.88152944       0.00566852
    857.02445382       0.00127966
    857.16740203       0.00251231
    857.31037409       0.00384428
    857.45336999      -0.00033635
    857.59638975       0.00338247
