      Wavelength  Normalized Flux
      [Angstrom]              [ ]
    801.78503676      -0.00268949
    801.91877126       0.00291301
    802.05252807       0.00360309
    802.18630719       0.01266006
    802.32010862       0.00088286
    802.45393237       0.00090246
    802.58777844       0.00796473
    802.72164684       0.00538174
    802.85553757       0.00326802
    802.98945062       0.00310721
    803.12338602      -0.00689745
    803.25734375       0.00029776
    803.39132383       0.00298250
    803.52532625       0.00255040
    803.65935103       0.00462669
    803.79339816       0.00004157
    803.92746764       0.00196585
    804.06155950       0.00063460
    804.19567371      -0.01846853
    804.32981030      -0.00175237
    804.46396926       0.00234077
    804.59815060      -0.00364845
    804.73235431      -0.01508820
    804.86658042       0.00637766
    805.00082891       0.01196288
    805.13509979       0.00050661
    805.26939307       0.00622521
    805.40370875       0.00778929
    805.53804683       0.00337116
    805.67240732       0.01886101
    805.80679022       0.01071111
    805.94119553       0.01489371
    806.07562327      -0.00642771
    806.21007342       0.00247597
    806.34454600       0.00461340
    806.47904101      -0.00123143
    806.61355845       0.00174049
    806.74809833      -0.00350549
    806.88266066       0.00683445
    807.01724542      -0.00047039
    807.15185263      -0.00171304
    807.28648230      -0.00262211
    807.42113442       0.00239376
    807.55580900       0.00773513
    807.69050604       0.01186087
    807.82522555       0.00621580
    807.95996754       0.00590011
    808.09473199      -0.00548688
    808.22951893       0.00660088
    808.36432834       0.00594504
    808.49916024       0.01142596
    808.63401463       0.01235430
    808.76889152       0.00802175
    808.90379090       0.01388969
    809.03871278       0.00354130
    809.17365717       0.01522534
    809.30862406       0.00186461
    809.44361347       0.00810628
    809.57862539       0.01086456
    809.71365983       0.00607277
    809.84871679      -0.00568757
    809.98379628       0.01226244
    810.11889831       0.00217724
    810.25402286       0.00415290
    810.38916996       0.00527685
    810.52433959       0.00307865
    810.65953178       0.00724769
    810.79474651       0.00314408
    810.92998379       0.00334003
    811.06524364       0.02003297
    811.20052604       0.01114593
    811.33583101       0.00254535
    811.47115854       0.01566506
    811.60650865       0.00430503
    811.74188134       0.00062944
    811.87727660       0.00277849
    812.01269445       0.00541694
    812.14813488       0.00801523
    812.28359790      -0.00047151
    812.41908352      -0.00704266
    812.55459174       0.01759712
    812.69012256       0.00384486
    812.82567599       0.00200312
    812.96125203       0.00419186
    813.09685067       0.00326838
    813.23247194       0.00856979
    813.36811583      -0.00801673
    813.50378234       0.00493875
    813.63947148       0.00107525
    813.77518326       0.01573074
    813.91091767       0.00285888
    814.04667472       0.00465263
    814.18245441       0.00526333
    814.31825675       0.00170324
    814.45408175       0.00882358
    814.58992939       0.00593545
    814.72579970       0.00859511
    814.86169267       0.00472060
    814.99760830       0.00600532
    815.13354661       0.00239585
    815.26950759       0.01324138
    815.40549125       0.00298260
    815.54149759       0.01644866
    815.67752661       0.00977119
    815.81357832       0.01351628
    815.94965273       0.00944279
    816.08574983       0.01689653
    816.22186963      -0.00313579
    816.35801214       0.00056415
    816.49417736       0.00299261
    816.63036529       0.00716565
    816.76657593       0.00444737
    816.90280929       0.00857826
    817.03906538      -0.00020419
    817.17534419      -0.01380972
    817.31164573       0.00436409
    817.44797001       0.00293906
    817.58431703      -0.00446488
    817.72068678       0.00909035
    817.85707929       0.00721025
    817.99349454       0.00146560
    818.12993255       0.00604771
    818.26639331      -0.00554507
    818.40287684      -0.00518006
    818.53938313       0.01212155
    818.67591219       0.00411683
    818.81246402       0.00476141
    818.94903863       0.01069438
    819.08563602       0.00465968
    819.22225619      -0.00669413
    819.35889915      -0.01623532
    819.49556490      -0.01785604
    819.63225345      -0.00526206
    819.76896479       0.00384221
    819.90569894       0.00849243
    820.04245590       0.01033913
    820.17923566       0.00392569
    820.31603824      -0.00282057
    820.45286364       0.00442697
    820.58971186       0.00462411
    820.72658291      -0.00853443
    820.86347678       0.00493753
    821.00039349       0.00059433
    821.13733304       0.00781195
    821.27429542       0.00182198
    821.41128066      -0.00661137
    821.54828874      -0.00461191
    821.68531967      -0.00180832
    821.82237346       0.00089379
    821.95945011       0.00244072
    822.09654962      -0.00115367
    822.23367200       0.01389675
    822.37081725       0.01020358
    822.50798538      -0.00090078
    822.64517638       0.00314860
    822.78239027       0.00444087
    822.91962705       0.00423965
    823.05688671      -0.00310112
    823.19416928       0.00114421
    823.33147473       0.00645548
    823.46880310      -0.00399235
    823.60615436      -0.00198867
    823.74352854       0.00923552
    823.88092563      -0.00426504
    824.01834564       0.00067680
    824.15578856       0.00947131
    824.29325442       0.00660275
    824.43074320       0.00869991
    824.56825491      -0.00165195
    824.70578956       0.01033418
    824.84334715      -0.00680977
    824.98092769      -0.00106568
    825.11853117       0.00161121
    825.25615761       0.00603649
    825.39380700       0.00215492
    825.53147935       0.00012194
    825.66917466       0.00561494
    825.80689294       0.00158345
    825.94463419       0.01344122
    826.08239841       0.00467630
    826.22018562       0.00289467
    826.35799580       0.01532341
    826.49582898       0.00601784
    826.63368514      -0.00391981
    826.77156430       0.00291574
    826.90946645       0.00219753
    827.04739160      -0.01251807
