      Wavelength  Normalized Flux
      [Angstrom]              [ ]
    873.02606272      -0.00014855
    873.17167993       0.00642659
    873.31732144       0.00134524
    873.46298724       0.00283254
    873.60867733       0.00102485
    873.75439173       0.00762538
    873.90013043       0.00135349
    874.04589344       0.00152723
    874.19168076       0.00424616
    874.33749239       0.00340501
    874.48332835       0.00515197
    874.62918863       0.00775649
    874.77507325       0.00421475
    874.92098219       0.00011362
    875.06691547      -0.00094207
    875.21287310       0.00427227
    875.35885507       0.00763674
    875.50486138       0.00014371
    875.65089205      -0.00268729
    875.79694708       0.00360727
    875.94302647      -0.00132512
    876.08913023      -0.00203141
    876.23525835       0.00110784
    876.38141085       0.00480627
    876.52758772       0.00665644
    876.67378898       0.00382566
    876.82001463       0.00281962
    876.96626466       0.00783364
    877.11253909       0.00595030
    877.25883791       0.00376485
    877.40516114       0.00070890
    877.55150877      -0.00146468
    877.69788081       0.00133987
    877.84427727      -0.00037779
    877.99069815      -0.00087275
    878.13714345       0.00276573
    878.28361317      -0.00016472
    878.43010733      -0.00003487
    878.57662592       0.00116545
    878.72316894       0.00391139
    878.86973642       0.00338357
    879.01632833       0.00359006
    879.16294470       0.00032290
    879.30958553       0.00188011
    879.45625081       0.00099553
    879.60294056      -0.00007360
    879.74965477      -0.00013654
    879.89639346       0.00415017
    880.04315662       0.00059209
    880.18994426       0.00243976
    880.33675638       0.00439730
    880.48359299      -0.00350930
    880.63045409       0.00469391
    880.77733969       0.00416471
    880.92424979       0.00069859
    881.07118440       0.00558289
    881.21814351       0.00379865
    881.36512713       0.00209149
    881.51213527       0.00102462
    881.65916793       0.00031975
    881.80622511       0.00114835
    881.95330683       0.00462861
    882.10041307       0.00223327
    882.24754385       0.00201671
    882.39469918       0.00115074
    882.54187904       0.00423263
    882.68908346       0.00382767
    882.83631243       0.00486190
    882.98356596       0.00194945
    883.13084405       0.00218390
    883.27814670       0.00093361
    883.42547392      -0.00065302
    883.57282572      -0.00660219
    883.72020210       0.00430412
    883.86760305       0.00321338
    884.01502859       0.00537952
    884.16247873       0.00577976
    884.30995345      -0.00165125
    884.45745278      -0.00157858
    884.60497670      -0.00022498
    884.75252524       0.00074748
    884.90009838       0.00361522
    885.04769614       0.00474451
    885.19531852       0.00370814
    885.34296552       0.00306118
    885.49063714       0.00239946
    885.63833340      -0.00126505
    885.78605429       0.00375516
    885.93379983       0.00587707
    886.08157000       0.00189606
    886.22936482       0.00276623
    886.37718430       0.00423457
    886.52502843      -0.00146479
    886.67289722      -0.00194125
    886.82079067      -0.00034370
    886.96870879       0.00198950
    887.11665159      -0.00094120
    887.26461906       0.00026597
    887.41261121       0.00270806
    887.56062805       0.00911728
    887.70866957       0.00423634
    887.85673579       0.00197938
    888.00482670       0.00021026
    888.15294231       0.00495903
    888.30108263       0.00026011
    888.44924766      -0.00679542
    888.59743740      -0.00348544
    888.74565186       0.00621320
    888.89389104       0.00053763
    889.04215495       0.00073304
    889.19044359       0.00475643
    889.33875696       0.00365175
    889.48709507      -0.00029790
    889.63545792       0.00225379
    889.78384552       0.00221935
    889.93225786      -0.00004250
    890.08069497       0.00089158
    890.22915683       0.00268895
    890.37764345       0.00340076
    890.52615484       0.00113493
    890.67469100       0.00238379
    890.82325194       0.00362974
    890.97183766       0.00188832
    891.12044816      -0.00052891
    891.26908344       0.00086007
    891.41774352       0.00125699
    891.56642840       0.00407330
    891.71513807       0.00489731
    891.86387255       0.00345028
    892.01263184      -0.00085124
    892.16141594      -0.00623142
    892.31022486       0.00285630
    892.45905859      -0.00044694
    892.60791716       0.00322069
    892.75680055       0.00019307
    892.90570877      -0.00030708
    893.05464183       0.00629130
    893.20359974       0.00028551
    893.35258249       0.00064233
    893.50159008       0.00410085
    893.65062254       0.00031190
    893.79967985       0.00317465
    893.94876202       0.00485220
    894.09786906       0.00359710
    894.24700097      -0.00169206
    894.39615775       0.00315929
    894.54533941       0.00541715
    894.69454596       0.00564789
    894.84377739       0.00094146
    894.99303372       0.00283179
    895.14231494       0.00221068
    895.29162105      -0.00266376
    895.44095208      -0.00048298
    895.59030801       0.00047512
    895.73968885      -0.00043704
    895.88909461      -0.00093251
    896.03852528       0.00536613
    896.18798089       0.00027353
    896.33746142       0.00043021
    896.48696688       0.00237676
    896.63649728      -0.00172824
    896.78605263      -0.00328509
    896.93563291       0.00026746
    897.08523815      -0.00108351
    897.23486834       0.00172098
    897.38452349       0.00191050
    897.53420360       0.00137765
    897.68390868       0.00383355
    897.83363872       0.00503884
    897.98339374       0.00017004
    898.13317374      -0.00089486
    898.28297872      -0.00048311
    898.43280869       0.00095345
    898.58266365       0.00191867
    898.73254361       0.00222335
    898.88244856       0.00934255
    899.03237852       0.00729329
    899.18233348       0.00205255
    899.33231346       0.00301558
    899.48231845       0.00392146
    899.63234847       0.00734286
    899.78240351       0.00617435
    899.93248357       0.00286986
    900.08258867       0.00144114
    900.23271881       0.00140731
    900.38287399       0.00333709
    900.53305421       0.00132046
    900.68325948       0.00455472
    900.83348981       0.00472499
    900.98374519       0.00382297
    901.13402564      -0.00111258
    901.28433115       0.00478390
    901.43466173       0.00115818
    901.58501739      -0.00013621
    901.73539812       0.00565733
    901.88580394       0.00093597
    902.03623484      -0.00352195
    902.18669084      -0.00144349
    902.33717193       0.00689812
    902.48767813      -0.00032944
    902.63820942       0.00270610
    902.78876582       0.00092644
    902.93934734      -0.00333874
    903.08995397       0.00225796
    903.24058572       0.00534915
    903.39124260      -0.00010519
    903.54192461       0.00412148
    903.69263175       0.00416741
    903.84336403       0.00578570
    903.99412144       0.00061706
    904.14490401       0.00156866
    904.29571172       0.00433816
    904.44654459       0.00049899
    904.59740262       0.00623827
    904.74828581       0.00606761
    904.89919416       0.00306735
    905.05012769       0.00173580
    905.20108639      -0.00355712
    905.35207027      -0.00047405
    905.50307934       0.00231239
    905.65411359      -0.00069053
    905.80517303       0.00427392
    905.95625767       0.00449098
    906.10736751       0.00397299
    906.25850256       0.00195573
    906.40966281       0.00148640
    906.56084828       0.00172463
    906.71205896       0.00355030
    906.86329487       0.00173300
    907.01455600       0.00370696
    907.16584236       0.00776780
    907.31715395       0.00711094
    907.46849078       0.00284833
    907.61985286       0.00288930
    907.77124018       0.00433619
    907.92265275       0.00314460
    908.07409058       0.00131788
    908.22555367       0.00486707
